fold,seed,detector,k,auroc,coverage,cov_gap
1,1,SAFE-Embed,10,0.5870759675107501,0.8152173913043479,0.01521739130434785
1,1,SAFE-Embed,15,0.6257763975155279,0.8913043478260869,0.09130434782608687
1,1,SAFE-Embed,20,0.6555183946488294,0.8695652173913043,0.06956521739130428
2,0,SAFE-MLP,5,0.4735054347826087,0.7391304347826086,-0.0608695652173914
2,0,SAFE-MLP,8,0.45069875776397517,0.7391304347826086,-0.0608695652173914
2,0,SAFE-MLP,10,0.5049495341614907,0.7391304347826086,-0.0608695652173914
2,0,SAFE-MLP,15,0.5580357142857143,0.7065217391304348,-0.09347826086956523
2,0,SAFE-MLP,20,0.6184006211180124,0.6195652173913043,-0.18043478260869572
2,0,H&S,5,0.7626164596273292,0.42391304347826086,-0.3760869565217392
2,0,H&S,8,0.7755240683229814,0.6847826086956521,-0.11521739130434794
2,0,H&S,10,0.7635869565217391,0.5434782608695652,-0.25652173913043486
2,0,H&S,15,0.7506793478260869,0.4130434782608695,-0.38695652173913053
2,0,H&S,20,0.717876552795031,0.46739130434782605,-0.332608695652174
2,0,SAFE-Embed,5,0.7211762422360248,0.967391304347826,0.167391304347826
2,0,SAFE-Embed,8,0.7426242236024845,0.9130434782608696,0.11304347826086958
2,0,SAFE-Embed,10,0.7378687888198758,1.0,0.19999999999999996
2,0,SAFE-Embed,15,0.749514751552795,0.9891304347826086,0.1891304347826086
2,0,SAFE-Embed,20,0.7574728260869565,0.9239130434782609,0.12391304347826082
2,1,SAFE-MLP,5,0.4419642857142857,0.75,-0.050000000000000044
2,1,SAFE-MLP,8,0.46506211180124224,0.7173913043478262,-0.08260869565217388
2,1,SAFE-MLP,10,0.49606948757763975,0.75,-0.050000000000000044
2,1,SAFE-MLP,15,0.5600252329192547,0.7717391304347826,-0.02826086956521745
2,1,SAFE-MLP,20,0.5822010869565217,0.7391304347826086,-0.0608695652173914
2,1,H&S,5,0.7297166149068323,0.6413043478260869,-0.15869565217391313
2,1,H&S,8,0.7149650621118012,0.5434782608695652,-0.25652173913043486
2,1,H&S,10,0.7279697204968945,0.4565217391304348,-0.34347826086956523
2,1,H&S,15,0.6831327639751553,0.5434782608695652,-0.25652173913043486
2,1,H&S,20,0.6374223602484472,0.5326086956521738,-0.2673913043478262
2,1,SAFE-Embed,5,0.7004076086956522,0.967391304347826,0.167391304347826
2,1,SAFE-Embed,8,0.7087538819875776,0.9891304347826086,0.1891304347826086
2,1,SAFE-Embed,10,0.7138004658385093,1.0,0.19999999999999996
2,1,SAFE-Embed,15,0.7396156832298136,0.8913043478260869,0.09130434782608687
2,1,SAFE-Embed,20,0.7599961180124224,0.9456521739130435,0.14565217391304341
3,0,SAFE-MLP,5,0.4423550587343691,0.7692307692307692,-0.030769230769230882
3,0,SAFE-MLP,8,0.534198560060629,0.8571428571428572,0.05714285714285716
3,0,SAFE-MLP,10,0.5501136794240242,0.8021978021978022,0.00219780219780219
3,0,SAFE-MLP,15,0.6636983705949223,0.8351648351648352,0.03516483516483515
3,0,SAFE-MLP,20,0.7118226600985221,0.8021978021978022,0.00219780219780219
3,0,H&S,5,0.6632247063281546,0.7692307692307692,-0.030769230769230882
3,0,H&S,8,0.647404319818113,0.7362637362637363,-0.06373626373626373
3,0,H&S,10,0.6572565365668814,0.6483516483516483,-0.15164835164835178
3,0,H&S,15,0.6682455475558924,0.6703296703296704,-0.12967032967032965
3,0,H&S,20,0.6594353921940129,0.7582417582417582,-0.04175824175824183
3,0,SAFE-Embed,5,0.5834596438044714,1.0,0.19999999999999996
3,0,SAFE-Embed,8,0.6176582038651004,1.0,0.19999999999999996
3,0,SAFE-Embed,10,0.6288366805608185,0.967032967032967,0.167032967032967
3,0,SAFE-Embed,15,0.6638878363016294,0.8021978021978022,0.00219780219780219
3,0,SAFE-Embed,20,0.6852974611595302,0.8021978021978022,0.00219780219780219
3,1,SAFE-MLP,5,0.5789124668435013,0.5714285714285714,-0.22857142857142865
3,1,SAFE-MLP,8,0.6291208791208791,0.7252747252747253,-0.07472527472527479
3,1,SAFE-MLP,10,0.6510989010989011,0.6153846153846154,-0.18461538461538463
3,1,SAFE-MLP,15,0.6862447896930656,0.8021978021978022,0.00219780219780219
3,1,SAFE-MLP,20,0.7075596816976127,0.8571428571428572,0.05714285714285716
3,1,H&S,5,0.6679613489958317,0.5494505494505495,-0.25054945054945055
3,1,H&S,8,0.6914550966275104,0.6153846153846154,-0.18461538461538463
3,1,H&S,10,0.6937286851079955,0.6043956043956045,-0.19560439560439558
3,1,H&S,15,0.6928760894278135,0.8021978021978022,0.00219780219780219
