fold,seed,detector,alpha,method,order,coverage,nominal,cov_gap,tpr,tnr,bal_acc,det_time,n_detected
0,0,hand:cum_mean_token_entropy,0.2,ACI g=0.05 (grow cal),blocked,0.7934782608695652,0.8,-0.006521739130434856,0.3119266055045872,0.7934782608695652,0.5527024331870762,0.14294117647058824,34
0,0,hand:cum_mean_token_entropy,0.25,split CP (SAFE),exch,0.625,0.75,-0.125,0.3770491803278688,0.625,0.5010245901639344,0.2104347826086956,23
0,0,hand:cum_mean_token_entropy,0.25,ACI g=0.05 (grow cal),exch,0.75,0.75,0.0,0.26229508196721313,0.75,0.5061475409836066,0.265,16
0,0,hand:cum_mean_token_entropy,0.25,split CP (SAFE),blocked,0.8152173913043479,0.75,0.0652173913043479,0.30275229357798167,0.8152173913043479,0.5589848424411648,0.18060606060606063,33
0,0,hand:cum_mean_token_entropy,0.25,ACI g=0.05 (grow cal),blocked,0.7391304347826086,0.75,-0.010869565217391353,0.3669724770642202,0.7391304347826086,0.5530514559234144,0.1675,40
0,0,hand:cum_mean_token_entropy [task-rel],0.1,split CP (SAFE),exch,1.0,0.9,0.09999999999999998,0.18032786885245902,1.0,0.5901639344262295,0.21272727272727276,11
0,0,hand:cum_mean_token_entropy [task-rel],0.1,ACI g=0.05 (grow cal),exch,0.9375,0.9,0.03749999999999998,0.22950819672131148,0.9375,0.5835040983606558,0.24285714285714288,14
0,0,hand:cum_mean_token_entropy [task-rel],0.1,split CP (SAFE),blocked,0.8369565217391304,0.9,-0.06304347826086965,0.12844036697247707,0.8369565217391304,0.4826984443558037,0.17571428571428574,14
0,0,hand:cum_mean_token_entropy [task-rel],0.1,ACI g=0.05 (grow cal),blocked,0.8804347826086957,0.9,-0.019565217391304346,0.10091743119266056,0.8804347826086957,0.4906761069006781,0.15818181818181817,11
0,0,hand:cum_mean_token_entropy [task-rel],0.15,split CP (SAFE),exch,0.9375,0.85,0.08750000000000002,0.29508196721311475,0.9375,0.6162909836065573,0.3111111111111111,18
0,0,hand:cum_mean_token_entropy [task-rel],0.15,ACI g=0.05 (grow cal),exch,0.875,0.85,0.025000000000000022,0.32786885245901637,0.875,0.6014344262295082,0.24500000000000002,20
0,0,hand:cum_mean_token_entropy [task-rel],0.15,split CP (SAFE),blocked,0.75,0.85,-0.09999999999999998,0.25688073394495414,0.75,0.5034403669724771,0.2492857142857143,28
0,0,hand:cum_mean_token_entropy [task-rel],0.15,ACI g=0.05 (grow cal),blocked,0.8260869565217391,0.85,-0.023913043478260843,0.14678899082568808,0.8260869565217391,0.4864379736737136,0.28500000000000003,16
0,0,hand:cum_mean_token_entropy [task-rel],0.2,split CP (SAFE),exch,0.875,0.8,0.07499999999999996,0.3770491803278688,0.875,0.6260245901639344,0.2521739130434783,23
0,0,hand:cum_mean_token_entropy [task-rel],0.2,ACI g=0.05 (grow cal),exch,0.875,0.8,0.07499999999999996,0.3770491803278688,0.875,0.6260245901639344,0.24695652173913044,23
0,0,hand:cum_mean_token_entropy [task-rel],0.2,split CP (SAFE),blocked,0.7282608695652174,0.8,-0.07173913043478264,0.3119266055045872,0.7282608695652174,0.5200937375349023,0.25117647058823533,34
0,0,hand:cum_mean_token_entropy [task-rel],0.2,ACI g=0.05 (grow cal),blocked,0.782608695652174,0.8,-0.017391304347826098,0.2018348623853211,0.782608695652174,0.49222177901874753,0.2563636363636364,22
0,0,hand:cum_mean_token_entropy [task-rel],0.25,split CP (SAFE),exch,0.875,0.75,0.125,0.3770491803278688,0.875,0.6260245901639344,0.2947826086956522,23
0,0,hand:cum_mean_token_entropy [task-rel],0.25,ACI g=0.05 (grow cal),exch,0.8125,0.75,0.0625,0.4426229508196721,0.8125,0.6275614754098361,0.2562962962962963,27
0,0,hand:cum_mean_token_entropy [task-rel],0.25,split CP (SAFE),blocked,0.7065217391304348,0.75,-0.04347826086956519,0.3577981651376147,0.7065217391304348,0.5321599521340248,0.29692307692307696,39
0,0,hand:cum_mean_token_entropy [task-rel],0.25,ACI g=0.05 (grow cal),blocked,0.7391304347826086,0.75,-0.010869565217391353,0.27522935779816515,0.7391304347826086,0.5071798962903868,0.32266666666666666,30
0,0,hand:mean_token_entropy,0.1,split CP (SAFE),exch,0.875,0.9,-0.025000000000000022,0.2459016393442623,0.875,0.5604508196721312,0.5866666666666666,15
0,0,hand:mean_token_entropy,0.1,ACI g=0.05 (grow cal),exch,0.8125,0.9,-0.08750000000000002,0.22950819672131148,0.8125,0.5210040983606558,0.62,14
0,0,hand:mean_token_entropy,0.1,split CP (SAFE),blocked,0.8043478260869565,0.9,-0.09565217391304348,0.21100917431192662,0.8043478260869565,0.5076785001994416,0.6460869565217392,23
0,0,hand:mean_token_entropy,0.1,ACI g=0.05 (grow cal),blocked,0.9239130434782609,0.9,0.023913043478260843,0.09174311926605505,0.9239130434782609,0.507828081372158,0.57,10
0,0,hand:mean_token_entropy,0.15,split CP (SAFE),exch,0.8125,0.85,-0.03749999999999998,0.3114754098360656,0.8125,0.5619877049180328,0.5421052631578945,19
0,0,hand:mean_token_entropy,0.15,ACI g=0.05 (grow cal),exch,0.8125,0.85,-0.03749999999999998,0.29508196721311475,0.8125,0.5537909836065573,0.5499999999999999,18
0,0,hand:mean_token_entropy,0.15,split CP (SAFE),blocked,0.7391304347826086,0.85,-0.11086956521739133,0.25688073394495414,0.7391304347826086,0.4980055843637814,0.6042857142857143,28
0,0,hand:mean_token_entropy,0.15,ACI g=0.05 (grow cal),blocked,0.8913043478260869,0.85,0.04130434782608694,0.12844036697247707,0.8913043478260869,0.509872357399282,0.5157142857142857,14
0,0,hand:mean_token_entropy,0.2,split CP (SAFE),exch,0.75,0.8,-0.050000000000000044,0.36065573770491804,0.75,0.555327868852459,0.5054545454545454,22
0,0,hand:mean_token_entropy,0.2,ACI g=0.05 (grow cal),exch,0.75,0.8,-0.050000000000000044,0.3770491803278688,0.75,0.5635245901639344,0.5843478260869565,23
0,0,hand:mean_token_entropy,0.2,split CP (SAFE),blocked,0.7282608695652174,0.8,-0.07173913043478264,0.29357798165137616,0.7282608695652174,0.5109194256082967,0.59375,32
0,0,hand:mean_token_entropy,0.2,ACI g=0.05 (grow cal),blocked,0.8369565217391304,0.8,0.03695652173913033,0.1834862385321101,0.8369565217391304,0.5102213801356202,0.5330000000000001,20
0,0,hand:mean_token_entropy,0.25,split CP (SAFE),exch,0.6875,0.75,-0.0625,0.45901639344262296,0.6875,0.5732581967213115,0.4942857142857142,28
0,0,hand:mean_token_entropy,0.25,ACI g=0.05 (grow cal),exch,0.6875,0.75,-0.0625,0.4098360655737705,0.6875,0.5486680327868853,0.5287999999999999,25
0,0,hand:mean_token_entropy,0.25,split CP (SAFE),blocked,0.6413043478260869,0.75,-0.10869565217391308,0.3944954128440367,0.6413043478260869,0.5178998803350618,0.6074418604651162,43
0,0,hand:mean_token_entropy,0.25,ACI g=0.05 (grow cal),blocked,0.782608695652174,0.75,0.03260869565217395,0.27522935779816515,0.782608695652174,0.5289190267251695,0.6199999999999999,30
0,0,hand:mean_token_entropy [task-rel],0.1,split CP (SAFE),exch,0.9375,0.9,0.03749999999999998,0.01639344262295082,0.9375,0.4769467213114754,0.06,1
0,0,hand:mean_token_entropy [task-rel],0.1,ACI g=0.05 (grow cal),exch,0.9375,0.9,0.03749999999999998,0.01639344262295082,0.9375,0.4769467213114754,0.06,1
0,0,hand:mean_token_entropy [task-rel],0.1,split CP (SAFE),blocked,0.9239130434782609,0.9,0.023913043478260843,0.01834862385321101,0.9239130434782609,0.47113083366573594,0.23,2
0,0,hand:mean_token_entropy [task-rel],0.1,ACI g=0.05 (grow cal),blocked,0.8804347826086957,0.9,-0.019565217391304346,0.07339449541284404,0.8804347826086957,0.47691463901076986,0.27,8
0,0,hand:mean_token_entropy [task-rel],0.15,split CP (SAFE),exch,0.875,0.85,0.025000000000000022,0.03278688524590164,0.875,0.45389344262295084,0.53,2
0,0,hand:mean_token_entropy [task-rel],0.15,ACI g=0.05 (grow cal),exch,0.875,0.85,0.025000000000000022,0.03278688524590164,0.875,0.45389344262295084,0.53,2
0,0,hand:mean_token_entropy [task-rel],0.15,split CP (SAFE),blocked,0.9239130434782609,0.85,0.07391304347826089,0.07339449541284404,0.9239130434782609,0.49865376944555245,0.4750000000000001,8
0,0,hand:mean_token_entropy [task-rel],0.15,ACI g=0.05 (grow cal),blocked,0.8369565217391304,0.85,-0.013043478260869601,0.21100917431192662,0.8369565217391304,0.5239828480255285,0.44260869565217403,23
0,0,hand:mean_token_entropy [task-rel],0.2,split CP (SAFE),exch,0.8125,0.8,0.012499999999999956,0.06557377049180328,0.8125,0.4390368852459016,0.405,4
0,0,hand:mean_token_entropy [task-rel],0.2,ACI g=0.05 (grow cal),exch,0.8125,0.8,0.012499999999999956,0.08196721311475409,0.8125,0.44723360655737704,0.368,5
