fold,seed,arm,split,auroc,ap,bal_acc_05,bal_acc_cal,auroc_half,post_pre,mean_peak_fail,mean_peak_succ
1,1,B SAFE-LSTM as-run,val_unseen,0.6323459149546106,0.6324001487142608,0.5268155757286193,0.5883898709985667,0.6000955566172957,1.2738406658172607,0.9047509431838989,0.8709240555763245
1,1,C intra-contrastive,val_seen,0.8551587301587301,0.8867434324273454,0.7638888888888888,0.7658730158730158,0.6510770975056689,63.86636734008789,0.7230579853057861,0.22372521460056305
1,1,C intra-contrastive,val_unseen,0.6742713807931199,0.7295699452899082,0.5633659818442427,0.5904204491161013,0.5683229813664596,31.461685180664062,0.6189916133880615,0.4493570327758789
1,1,D H&S inter+intra,val_seen,0.8846371882086168,0.9011805377806418,0.7529761904761905,0.7738095238095237,0.6763038548752834,2.6253089904785156,0.657429039478302,0.4192405641078949
1,1,D H&S inter+intra,val_unseen,0.6832298136645962,0.7344789148186076,0.6127568084089823,0.6669254658385093,0.562111801242236,1.667590618133545,0.6021040081977844,0.5095847845077515
2,0,A SAFE-LSTM faithful,val_seen,0.7135969141755063,0.7123920337910185,0.5829315332690452,0.670845387335262,0.6774349083895853,1.2878966331481934,0.8100192546844482,0.580493152141571
2,0,A SAFE-LSTM faithful,val_unseen,0.5739518633540373,0.6770515108474983,0.5201863354037267,0.5044642857142857,0.5457104037267081,1.182057499885559,0.7517093420028687,0.7077122330665588
2,0,B SAFE-LSTM as-run,val_seen,0.7139183542269367,0.7146307549980553,0.5895210543233687,0.670845387335262,0.6845065895210544,1.1613688468933105,0.8247203230857849,0.6022993326187134
2,0,B SAFE-LSTM as-run,val_unseen,0.5805512422360248,0.6613984592690282,0.5073757763975155,0.5089285714285714,0.5636160714285714,1.0254377126693726,0.7795825600624084,0.7228122353553772
2,0,C intra-contrastive,val_seen,0.8357441337190614,0.8311186569311618,0.7741883638701382,0.7937962070073932,0.7614914818386371,46.5083122253418,0.7518971562385559,0.23966209590435028
2,0,C intra-contrastive,val_unseen,0.8938276397515528,0.9224564980064179,0.8322981366459627,0.827251552795031,0.5709433229813664,21.530487060546875,0.7983550429344177,0.3010324537754059
2,0,D H&S inter+intra,val_seen,0.8926390228222436,0.9221949469342691,0.7905818064930891,0.7937962070073932,0.7078109932497589,2.2008368968963623,0.6803060173988342,0.3933359384536743
2,0,D H&S inter+intra,val_unseen,0.8463703416149069,0.8619619822979941,0.7597049689440993,0.7911490683229814,0.5644409937888198,1.5251376628875732,0.6382209658622742,0.49208682775497437
2,1,A SAFE-LSTM faithful,val_seen,0.6981132075471698,0.7173764593015965,0.606811640550048,0.6674128557723058,0.6506236008954269,1.9727568626403809,0.7903977036476135,0.5779216289520264
2,1,A SAFE-LSTM faithful,val_unseen,0.6226708074534162,0.6912494771680591,0.562305900621118,0.5089285714285714,0.5756987577639752,1.5045214891433716,0.7855873703956604,0.6874659657478333
2,1,B SAFE-LSTM as-run,val_seen,0.669971218420211,0.6831425166493941,0.597377678285897,0.5996162456028142,0.6367125039974416,1.6060216426849365,0.7936078310012817,0.5926529765129089
2,1,B SAFE-LSTM as-run,val_unseen,0.594623447204969,0.663675391922675,0.5514363354037267,0.5089285714285714,0.5661878881987578,1.2265386581420898,0.7755975723266602,0.7100858092308044
2,1,C intra-contrastive,val_seen,0.8439398784777742,0.8285593786179248,0.7446434282059482,0.7606331947553566,0.5737128237927727,46.282711029052734,0.6489934325218201,0.1867307871580124
2,1,C intra-contrastive,val_unseen,0.8256017080745341,0.8321227881795826,0.7991071428571428,0.7754270186335404,0.6182065217391305,17.679391860961914,0.7485749125480652,0.3118121325969696
2,1,D H&S inter+intra,val_seen,0.8915893827950112,0.9084185807523154,0.8020466901183243,0.7945314998401023,0.7201790853853534,2.563886880874634,0.6521952748298645,0.40415430068969727
2,1,D H&S inter+intra,val_unseen,0.7834821428571429,0.8013760317357922,0.6752717391304348,0.6999223602484472,0.6301436335403726,1.5874184370040894,0.6654927134513855,0.5400044322013855
3,0,A SAFE-LSTM faithful,val_seen,0.5621340273259596,0.5923641202758487,0.566363044892648,0.5169160702667535,0.5253741054001301,3.758409261703491,0.8034382462501526,0.7167669534683228
3,0,A SAFE-LSTM faithful,val_unseen,0.7045755968169761,0.7108502468501301,0.5742231906025009,0.6319154982948086,0.6519041303524062,1.7327237129211426,0.9329649806022644,0.7951101064682007
3,0,B SAFE-LSTM as-run,val_seen,0.52765126870527,0.5424065062098088,0.5474951203643461,0.4996746909564086,0.4991867273910215,3.241791248321533,0.8101133108139038,0.739291787147522
3,0,B SAFE-LSTM as-run,val_unseen,0.6841606669192876,0.7003748478290464,0.5541871921182266,0.5989484653277757,0.6368889730958697,1.6902225017547607,0.9509698152542114,0.8361101150512695
3,0,C intra-contrastive,val_seen,0.8292127521145087,0.8279031413959705,0.8124593363695511,0.7927781392322707,0.5676642810670136,50.70565414428711,0.6816775798797607,0.1774636059999466
3,0,C intra-contrastive,val_unseen,0.7501894657067071,0.8162232717030283,0.6750189465706706,0.6800871542250853,0.5831754452444108,17.870948791503906,0.5035920739173889,0.2033868283033371
3,0,D H&S inter+intra,val_seen,0.8539362394274561,0.862968089012197,0.7447950553025373,0.7841574495770982,0.6567989590110606,2.4931092262268066,0.7419202923774719,0.4562324583530426
3,0,D H&S inter+intra,val_unseen,0.7133383857521789,0.7644407941189071,0.6795661235316408,0.6690981432360743,0.5928381962864722,1.6919629573822021,0.6216659545898438,0.49461042881011963
3,1,A SAFE-LSTM faithful,val_seen,0.6300521512385919,0.6672587728257956,0.6155475880052151,0.5891460234680573,0.5803455019556715,4.150925636291504,0.7310286164283752,0.5531829595565796
3,1,A SAFE-LSTM faithful,val_unseen,0.6576828344069723,0.6866325390898105,0.5801439939370974,0.6166161424782115,0.5945907540735127,1.766544222831726,0.891044020652771,0.7620069980621338
3,1,B SAFE-LSTM as-run,val_seen,0.6078878748370273,0.6431729275197743,0.5697522816166884,0.5806714471968709,0.5757822685788787,1.9698320627212524,0.7133176922798157,0.5847793221473694
3,1,B SAFE-LSTM as-run,val_unseen,0.6292629784009094,0.665457223416527,0.5765915119363395,0.6020746494884426,0.5861121636983706,1.489319086074829,0.9054107666015625,0.7993852496147156
3,1,C intra-contrastive,val_seen,0.8989569752281616,0.8721280938837949,0.8552803129074316,0.8349087353324641,0.6831812255541069,54.40109634399414,0.7743769288063049,0.15835949778556824
3,1,C intra-contrastive,val_unseen,0.7494316028798788,0.8115634965612699,0.6796608563849943,0.6532777567260326,0.6179424024251611,26.130367279052734,0.5819927453994751,0.2692173421382904
3,1,D H&S inter+intra,val_seen,0.8911342894393742,0.874092434198548,0.8349087353324641,0.8179595827900912,0.7314211212516297,2.3212292194366455,0.6820417642593384,0.41665542125701904
3,1,D H&S inter+intra,val_unseen,0.6461727927245169,0.7251843644584919,0.626657824933687,0.6313944676013641,0.5284198560060629,1.5965499877929688,0.5570592284202576,0.4912104308605194
4,0,A SAFE-LSTM faithful,val_seen,0.5961538461538461,0.6381733924480063,0.5168690958164642,0.6135290148448043,0.5625843454790823,1.6088849306106567,0.704847514629364,0.6632735133171082
4,0,A SAFE-LSTM faithful,val_unseen,0.6889832856219411,0.7252456942670041,0.6254040077569489,0.5869424692954105,0.6294209991688984,1.9685732126235962,0.8982467651367188,0.6937203407287598
4,0,B SAFE-LSTM as-run,val_seen,0.5775978407557355,0.6101190259615611,0.5519568151147098,0.5608974358974359,0.5632591093117408,1.075459361076355,0.7266555428504944,0.6669149994850159
4,0,B SAFE-LSTM as-run,val_unseen,0.6728691476590636,0.7075620789955553,0.5989010989010989,0.572721396250808,0.6250808015513898,1.8983548879623413,0.8837767243385315,0.6937989592552185
4,0,C intra-contrastive,val_seen,0.8667341430499326,0.8664379510674016,0.7493252361673415,0.7714237516869096,0.6902834008097166,41.60044479370117,0.5811353921890259,0.1225329339504242
4,0,C intra-contrastive,val_unseen,0.8630529134730816,0.8979177192899501,0.8138332255979315,0.7094376212023271,0.6445655185150984,21.01760482788086,0.7049738764762878,0.21950004994869232
4,0,D H&S inter+intra,val_seen,0.8943994601889339,0.912085602804396,0.8186572199730094,0.8152834008097165,0.7041160593792173,2.311790704727173,0.6937456130981445,0.35689228773117065
4,0,D H&S inter+intra,val_unseen,0.8884476867670145,0.9088477831967635,0.7895927601809956,0.7478991596638656,0.6939698956505679,1.635441541671753,0.6731574535369873,0.4396797716617584
4,1,A SAFE-LSTM faithful,val_seen,0.7515182186234818,0.7974008822919643,0.655195681511471,0.7187921727395412,0.7093454790823212,2.499380111694336,0.7969365119934082,0.5244062542915344
4,1,A SAFE-LSTM faithful,val_unseen,0.7044048388586204,0.7532885236250669,0.5992243051066581,0.6286360698125404,0.6249884569212301,1.6238125562667847,0.8965358138084412,0.7413371205329895
