fold,seed,detector,task,auroc,n
1,1,hand:cum_mean_token_prob,-1,0.4267797419971333,183
1,1,hand:cum_mean_token_prob,0,0.5057232049947971,62
1,1,hand:cum_mean_token_prob,3,0.3466666666666667,60
1,1,hand:cum_mean_token_prob,7,0.4118279569892473,61
1,1,hand:cum_mean_token_prob [task-rel],-1,0.5047778308647873,183
1,1,hand:cum_mean_token_prob [task-rel],0,0.5026014568158168,62
1,1,hand:cum_mean_token_prob [task-rel],3,0.54,60
1,1,hand:cum_mean_token_prob [task-rel],7,0.4645161290322581,61
1,1,hand:cum_dpos,-1,0.3792403248924988,183
1,1,hand:cum_dpos,0,0.3267429760665973,62
1,1,hand:cum_dpos,3,0.21222222222222223,60
1,1,hand:cum_dpos,7,0.4731182795698925,61
1,1,hand:cum_dpos [task-rel],-1,0.5258002866698519,183
1,1,hand:cum_dpos [task-rel],0,0.4547346514047867,62
1,1,hand:cum_dpos [task-rel],3,0.6444444444444445,60
1,1,hand:cum_dpos [task-rel],7,0.4483870967741935,61
1,1,hand:cum_drot,-1,0.49713330148112755,183
1,1,hand:cum_drot,0,0.5379812695109261,62
1,1,hand:cum_drot,3,0.3022222222222222,60
1,1,hand:cum_drot,7,0.5989247311827957,61
1,1,hand:cum_drot [task-rel],-1,0.575011944577162,183
1,1,hand:cum_drot [task-rel],0,0.6462018730489074,62
1,1,hand:cum_drot [task-rel],3,0.6811111111111111,60
1,1,hand:cum_drot [task-rel],7,0.3247311827956989,61
1,1,hand:dgripper,-1,0.38461538461538464,183
1,1,hand:dgripper,0,0.46774193548387094,62
1,1,hand:dgripper,3,0.23333333333333334,60
1,1,hand:dgripper,7,0.45,61
1,1,hand:dgripper [task-rel],-1,0.3813903487816531,183
1,1,hand:dgripper [task-rel],0,0.43912591050988553,62
1,1,hand:dgripper [task-rel],3,0.22555555555555556,60
1,1,hand:dgripper [task-rel],7,0.4645161290322581,61
2,0,SAFE-MLP,-1,0.7993982919254659,204
2,0,SAFE-MLP,0,0.6451612903225806,62
2,0,SAFE-MLP,4,0.8702956989247311,79
2,0,SAFE-MLP,6,0.8646464646464647,63
2,0,SAFE-MLP [task-rel],-1,0.5049495341614907,204
