fold,seed,detector,frac,auroc
0,0,hand:cum_dpos,0.6,0.49137415237335463
0,0,hand:cum_dpos,0.7,0.49137415237335463
0,0,hand:cum_dpos,0.8,0.49137415237335463
0,0,hand:cum_dpos,0.9,0.49137415237335463
0,0,hand:cum_dpos,1.0,0.49137415237335463
0,0,hand:cum_dpos [task-rel],0.1,0.5516553649780614
0,0,hand:cum_dpos [task-rel],0.2,0.5349022736338253
0,0,hand:cum_dpos [task-rel],0.3,0.45841643398484244
0,0,hand:cum_dpos [task-rel],0.4,0.47038292780215396
0,0,hand:cum_dpos [task-rel],0.5,0.5172516952532907
0,0,hand:cum_dpos [task-rel],0.6,0.55364978061428
0,0,hand:cum_dpos [task-rel],0.7,0.5488631830873554
0,0,hand:cum_dpos [task-rel],0.8,0.5511567610690068
0,0,hand:cum_dpos [task-rel],0.9,0.5424810530514559
0,0,hand:cum_dpos [task-rel],1.0,0.5345033905065816
0,0,hand:cum_drot,0.1,0.4808037495013961
0,0,hand:cum_drot,0.2,0.4808037495013961
0,0,hand:cum_drot,0.3,0.4808037495013961
0,0,hand:cum_drot,0.4,0.4808037495013961
0,0,hand:cum_drot,0.5,0.4808037495013961
0,0,hand:cum_drot,0.6,0.4808037495013961
0,0,hand:cum_drot,0.7,0.4808037495013961
0,0,hand:cum_drot,0.8,0.4808037495013961
0,0,hand:cum_drot,0.9,0.4808037495013961
0,0,hand:cum_drot,1.0,0.4808037495013961
0,0,hand:cum_drot [task-rel],0.1,0.5434782608695652
0,0,hand:cum_drot [task-rel],0.2,0.5361986437973674
0,0,hand:cum_drot [task-rel],0.3,0.46749102512963703
0,0,hand:cum_drot [task-rel],0.4,0.4498404467491025
0,0,hand:cum_drot [task-rel],0.5,0.48115277223773434
0,0,hand:cum_drot [task-rel],0.6,0.5091743119266054
0,0,hand:cum_drot [task-rel],0.7,0.5104706820901476
0,0,hand:cum_drot [task-rel],0.8,0.5162544874351815
0,0,hand:cum_drot [task-rel],0.9,0.5150578380534503
0,0,hand:cum_drot [task-rel],1.0,0.5138611886717191
0,0,hand:dgripper,0.1,0.4954128440366973
0,0,hand:dgripper,0.2,0.4954128440366973
0,0,hand:dgripper,0.3,0.5
0,0,hand:dgripper,0.4,0.5
0,0,hand:dgripper,0.5,0.5
0,0,hand:dgripper,0.6,0.5
0,0,hand:dgripper,0.7,0.5
0,0,hand:dgripper,0.8,0.5
0,0,hand:dgripper,0.9,0.5
0,0,hand:dgripper,1.0,0.5
0,0,hand:dgripper [task-rel],0.1,0.5266753091344236
0,0,hand:dgripper [task-rel],0.2,0.5267750299162346
0,0,hand:dgripper [task-rel],0.3,0.5335560430793778
0,0,hand:dgripper [task-rel],0.4,0.5340546469884324
0,0,hand:dgripper [task-rel],0.5,0.5344535301156761
0,0,hand:dgripper [task-rel],0.6,0.5346529716792979
0,0,hand:dgripper [task-rel],0.7,0.5346529716792979
0,0,hand:dgripper [task-rel],0.8,0.5347526924611089
0,0,hand:dgripper [task-rel],0.9,0.5347526924611089
0,0,hand:dgripper [task-rel],1.0,0.5347526924611089
0,1,SAFE-MLP,0.1,0.5912943757479059
0,1,SAFE-MLP,0.2,0.6070003988831273
0,1,SAFE-MLP,0.3,0.6106900678101316
0,1,SAFE-MLP,0.4,0.6125847626645393
0,1,SAFE-MLP,0.5,0.6324291982449143
0,1,SAFE-MLP,0.6,0.6579577183885121
0,1,SAFE-MLP,0.7,0.6979457518946949
0,1,SAFE-MLP,0.8,0.7319505384922218
0,1,SAFE-MLP,0.9,0.7546868767451137
0,1,SAFE-MLP,1.0,0.7843039489429597
0,1,SAFE-MLP [task-rel],0.1,0.44664938173115276
