fold,seed,held,detector,alpha,method,order,auroc,coverage,false_alarm,nominal_cov,cov_gap,n_success,alpha_final,tpr,tnr,bal_acc,det_time,n_detected
0,0,"0,1,4",SAFE-MLP,0.15,DtACI (grow cal),shuffled,0.7733346629437575,0.7717391304347826,0.22826086956521738,0.85,-0.07826086956521738,92,0.1168430484918801,0.5688073394495413,0.7717391304347826,0.670273234942162,0.623225806451613,62
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.005,shuffled,0.7733346629437575,0.7282608695652174,0.2717391304347826,0.85,-0.12173913043478257,92,0.09399999999999994,0.6330275229357798,0.7282608695652174,0.6806441962504985,0.5104347826086956,69
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.005 (grow cal),shuffled,0.7733346629437575,0.782608695652174,0.21739130434782608,0.85,-0.06739130434782603,92,0.11899999999999997,0.5688073394495413,0.782608695652174,0.6757080175508576,0.6361290322580646,62
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.01,shuffled,0.7733346629437575,0.7608695652173914,0.2391304347826087,0.85,-0.08913043478260863,92,0.06799999999999992,0.5688073394495413,0.7608695652173914,0.6648384523334663,0.5864516129032257,62
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.01 (grow cal),shuffled,0.7733346629437575,0.7934782608695652,0.20652173913043478,0.85,-0.05652173913043479,92,0.09799999999999995,0.5596330275229358,0.7934782608695652,0.6765556441962505,0.6396721311475412,61
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.05,shuffled,0.7733346629437575,0.8369565217391304,0.16304347826086957,0.85,-0.013043478260869601,92,0.09000000000000033,0.5688073394495413,0.8369565217391304,0.7028819305943359,0.6241935483870967,62
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.05 (grow cal),shuffled,0.7733346629437575,0.8369565217391304,0.16304347826086957,0.85,-0.013043478260869601,92,0.09000000000000033,0.5412844036697247,0.8369565217391304,0.6891204627044276,0.6915254237288136,59
0,0,"0,1,4",SAFE-MLP,0.15,split CP (SAFE),exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.15,0.819672131147541,0.8125,0.8160860655737705,0.446,50
0,0,"0,1,4",SAFE-MLP,0.15,split CP (n+1 corr.),exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.15,0.7868852459016393,0.8125,0.7996926229508197,0.6295833333333333,48
0,0,"0,1,4",SAFE-MLP,0.15,DtACI,exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.13990569917446327,0.819672131147541,0.8125,0.8160860655737705,0.468,50
0,0,"0,1,4",SAFE-MLP,0.15,DtACI (grow cal),exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.14451701939908737,0.819672131147541,0.8125,0.8160860655737705,0.4892,50
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.005,exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.147,0.819672131147541,0.8125,0.8160860655737705,0.4520000000000001,50
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.005 (grow cal),exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.147,0.819672131147541,0.8125,0.8160860655737705,0.4692,50
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.01,exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.144,0.819672131147541,0.8125,0.8160860655737705,0.4584000000000001,50
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.01 (grow cal),exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.144,0.819672131147541,0.8125,0.8160860655737705,0.47080000000000005,50
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.05,exch,0.7733346629437575,0.8125,0.1875,0.85,-0.03749999999999998,16,0.12000000000000005,0.819672131147541,0.8125,0.8160860655737705,0.46240000000000003,50
0,0,"0,1,4",SAFE-MLP,0.15,ACI g=0.05 (grow cal),exch,0.7733346629437575,0.75,0.25,0.85,-0.09999999999999998,16,0.07000000000000003,0.7049180327868853,0.75,0.7274590163934427,0.5841860465116279,43
0,0,"0,1,4",SAFE-MLP,0.2,split CP (SAFE),blocked,0.7733346629437575,0.6956521739130435,0.30434782608695654,0.8,-0.10434782608695659,92,0.2,0.6330275229357798,0.6956521739130435,0.6643398484244116,0.3944927536231885,69
0,0,"0,1,4",SAFE-MLP,0.2,split CP (n+1 corr.),blocked,0.7733346629437575,0.7065217391304348,0.29347826086956524,0.8,-0.09347826086956523,92,0.2,0.6330275229357798,0.7065217391304348,0.6697746310331073,0.40666666666666673,69
0,0,"0,1,4",SAFE-MLP,0.2,DtACI,blocked,0.7733346629437575,0.6739130434782609,0.32608695652173914,0.8,-0.12608695652173918,92,0.13784898830094938,0.6513761467889908,0.6739130434782609,0.6626445951336258,0.3504225352112677,71
0,0,"0,1,4",SAFE-MLP,0.2,DtACI (grow cal),blocked,0.7733346629437575,0.6956521739130435,0.30434782608695654,0.8,-0.10434782608695659,92,0.15942742978341148,0.6697247706422018,0.6956521739130435,0.6826884722776226,0.4821917808219178,73
0,0,"0,1,4",SAFE-MLP,0.2,ACI g=0.005,blocked,0.7733346629437575,0.6956521739130435,0.30434782608695654,0.8,-0.10434782608695659,92,0.15599999999999997,0.6330275229357798,0.6956521739130435,0.6643398484244116,0.3927536231884059,69
